username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
As_hautecouture,"Amaka'shautecouture: We train people to acquire skills like Bead making, Fascinator making, Auto Gele, Bridal hand fan and umbrella etc.",Nigeria,109,51,1728,2013-02-26 13:58:23,2020-10-14 17:36:23,4453,This Brand came to supply free bread to protesters at Alausa... please take note of their Brand and RT... Na brand wey support us we go patronize #EndSARS #EndSWAT https://t.co/wB8wv6vVsl,[]
Negrorologist,Individual without a cervix. Barcelona fan. 22.,Cruisetopia,1069,1049,7408,2020-02-28 09:00:58,2020-10-14 17:36:23,12237,"In other words: Buhari is a bad boy, Tinubu is a sugar daddy &amp; Sanwolu is a runs boy. #ENDSARS #EndSWAT","[{'text': 'ENDSARS', 'indices': [108, 116]}, {'text': 'EndSWAT', 'indices': [117, 125]}]"
iam_elizabethJ,"I'm a barrister, fashion designer, and a supplier of Ankara and other fabrics","Kano, Nigeria",1612,1608,5899,2011-09-10 14:08:20,2020-10-14 17:36:23,4234,"BREAKING NEWS!! One of the leaders of the Pro Sars Hausa Fulani Thugs that attacked harmless Protesters at Berger Abuja finally arrested in Area one.. 

I repeat again! We the Northerners stand with all Nigerians a few bad eggs don't represent us !!

#ENDSWAT #ENDSARSOPPRESSION https://t.co/uTweTpVjaG",[]
hendrixx__xx,Bad influence😈,Nigeria,163,184,617,2020-07-30 12:14:41,2020-10-14 17:36:23,334,Our Anthem! This country na wa o! We moveeee !! ‘Barawo Remix’ ft. @davido available on all platforms now #EndSWAT https://t.co/p3uzbQqO8W,"[{'text': 'EndSWAT', 'indices': [126, 134]}]"
JoeJeezzy,Positive Vibes Only,,3409,3134,2985,2020-03-07 23:58:48,2020-10-14 17:36:23,0,"Let the PROSARS keep coming, we’ll keep chopping their paternal figures!!! 😂😂😂 #EndSWAT #AbujaProtests #EndSARS  https://t.co/SrG4hiO538","[{'text': 'EndSWAT', 'indices': [79, 87]}, {'text': 'AbujaProtests', 'indices': [88, 102]}, {'text': 'EndSARS', 'indices': [103, 111]}]"
Lamboenergyyy,"I stan and restan. 
lambooooo
Amerigbo",,245,271,3450,2020-06-02 10:44:57,2020-10-14 17:36:23,82,"On the streets I saw icons and elites exchanging numbers. Wahala for who no wan fight for the greater good o. Beebeehen don finish, it’s time to face our government. #EndSWAT",[]
takinmadrid,"Zero Expectations, Zero Disappointment...
Don't stop learning...
God's own Grace",lagos,2375,2525,52742,2011-05-12 09:48:40,2020-10-14 17:36:23,6,"500 tags, can we? #EndSWAT 
#EndSWAT 
#EndSWAT 
#EndSWAT 
#EndSWAT 
#EndSWAT 
#EndSWAT 
#EndSWAT 
#EndSWAT 
#EndSWAT","[{'text': 'EndSWAT', 'indices': [30, 38]}, {'text': 'EndSWAT', 'indices': [40, 48]}, {'text': 'EndSWAT', 'indices': [50, 58]}, {'text': 'EndSWAT', 'indices': [60, 68]}, {'text': 'EndSWAT', 'indices': [70, 78]}, {'text': 'EndSWAT', 'indices': [80, 88]}, {'text': 'EndSWAT', 'indices': [90, 98]}, {'text': 'EndSWAT', 'indices': [100, 108]}, {'text': 'EndSWAT', 'indices': [110, 118]}, {'text': 'EndSWAT', 'indices': [120, 128]}]"
